name,constellation,magnitude,ra,dec
HIP 1001,Cassiopeia,4.38,1.78475,-13.92994
HIP 1002,Cygnus,5.18,20.12666,-87.51297
HIP 1003,Draco,3.24,4.79208,26.39735
HIP 1004,Cygnus,6.87,4.81527,-88.58523
HIP 1005,Andromeda,5.79,13.32934,-0.37352
HIP 1006,Andromeda,3.1,0.12758,-51.75199
HIP 1007,Ursa Major,4.96,17.03019,-55.44507
HIP 1008,Orion,7.27,8.24269,33.2619
HIP 1009,Taurus,6.08,8.86663,24.93253
HIP 1010,Aquarius,1.2,12.59021,50.20595
HIP 1011,Pegasus,1.51,6.73905,-65.19452
HIP 1012,Orion,7.88,16.4131,38.08297
HIP 1013,Ursa Major,1.94,11.09585,31.86338
HIP 1014,Pegasus,7.48,13.48256,28.37202
HIP 1015,Cygnus,3.32,2.53894,36.19336
HIP 1016,Aquarius,4.01,8.36354,-33.31315
HIP 1017,Leo,3.67,4.39783,67.22979
HIP 1018,Draco,1.78,0.20577,27.8174
HIP 1019,Cassiopeia,4.88,23.88191,-42.19751
HIP 1020,Ursa Major,5.95,4.27683,-86.02308
HIP 1021,Draco,2.42,3.99849,24.23551
HIP 1022,Leo,3.62,16.79798,71.71885
HIP 1023,Leo,2.51,8.70532,-19.749
HIP 1024,Aquarius,1.46,18.95416,7.46756
HIP 1025,Pegasus,4.51,8.37699,66.8697
HIP 1026,Pegasus,1.54,17.40909,8.5187
HIP 1027,Taurus,6.51,19.41036,50.91794
HIP 1028,Aquarius,2.82,17.66979,4.91853
HIP 1029,Ursa Major,4.7,4.97017,65.92433
HIP 1030,Draco,4.23,5.08979,-44.7122
HIP 1031,Leo,6.72,7.97424,-27.33794
HIP 1032,Cygnus,4.39,11.0839,-75.47209
HIP 1033,Scorpius,3.27,2.72462,-84.82845
HIP 1034,Aquarius,7.81,5.77247,17.30934
HIP 1035,Draco,5.75,5.37259,-41.0543
HIP 1036,Leo,5.89,20.5493,55.57972
HIP 1037,Aquarius,5.39,16.70209,-52.33726
HIP 1038,Scorpius,6.33,9.41578,-83.55515
HIP 1039,Taurus,3.09,22.04726,29.62309
HIP 1040,Orion,5.29,3.61125,-44.71429
HIP 1041,Ursa Major,7.38,19.34446,58.19955
HIP 1042,Draco,4.02,16.88195,-81.38981
HIP 1043,Lyra,3.98,8.06413,33.07861
HIP 1044,Pegasus,6.73,20.22167,71.592
HIP 1045,Cassiopeia,3.11,6.76499,-60.31975
HIP 1046,Cassiopeia,6.81,16.79279,60.13666
HIP 1047,Scorpius,4.26,0.41898,-34.46609
HIP 1048,Cygnus,5.3,8.94798,-68.15012
HIP 1049,Draco,2.87,8.58896,21.53018
HIP 1050,Lyra,4.3,23.52066,-9.60549
HIP 1051,Orion,3.88,9.3679,-5.85346
HIP 1052,Taurus,2.36,8.45827,-7.68457
HIP 1053,Cassiopeia,4.19,13.01735,42.81099
HIP 1054,Draco,1.26,18.23074,62.26657
HIP 1055,Pegasus,5.43,23.87636,-54.81579
HIP 1056,Ursa Major,5.63,8.21257,56.53949
HIP 1057,Scorpius,1.64,4.16993,-88.62617
HIP 1058,Scorpius,7.59,7.41721,14.92897
HIP 1059,Ursa Major,3.31,15.42606,25.42806
HIP 1060,Cygnus,3.63,11.8309,62.08732
HIP 1061,Orion,6.22,12.88987,-23.12847
HIP 1062,Ursa Major,4.37,11.44197,22.55103
HIP 1063,Leo,3.28,18.99414,-13.37656
HIP 1064,Andromeda,3.91,11.23665,76.88772
HIP 1065,Pegasus,3.82,3.59102,9.4368
HIP 1066,Andromeda,1.64,22.57672,-0.27602
HIP 1067,Aquarius,6.2,10.74051,54.92468
HIP 1068,Orion,4.9,14.45207,-44.35481
HIP 1069,Leo,1.91,21.6773,-5.77403
HIP 1070,Scorpius,1.57,9.96759,-7.24923
HIP 1071,Taurus,6.23,20.54085,54.07317
HIP 1072,Aquarius,2.9,13.31689,83.47795
HIP 1073,Taurus,4.56,23.07667,65.5338
HIP 1074,Draco,6.25,23.95881,51.02126
HIP 1075,Leo,6.42,20.48422,-69.55701
HIP 1076,Andromeda,6.08,14.07897,-23.3157
HIP 1077,Cygnus,7.9,5.72949,-51.49759
HIP 1078,Taurus,4.83,17.59965,23.55442
HIP 1079,Pegasus,6.02,12.07158,66.42235
HIP 1080,Taurus,5.25,11.79436,66.07112
HIP 1081,Pegasus,4.03,0.80232,-69.50102
HIP 1082,Ursa Major,3.38,4.64683,-47.65031
